"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создание пользователя с невалидным паролем менее 6 символов","15021","Регистрация пользователя с невалидным паролем","","2025-11-30","passed","2025-11-30","","IncorrectPasswordParamTest","IncorrectPasswordParamTest","createUserErrorPasswordTest[Неверный пароль 1234]"
"Проверка входа через кнопку Войти в аккаунт на главной странице","40260","Авторизация через кнопку Войти в аккаунт","","2025-11-30","passed","2025-11-30","","LoginTest","LoginTest","testAuthorizationAccountBtn"
"Проверка перехода в раздел начинки","13313","Конструктор начинки","","2025-11-30","broken","2025-11-30","","ConstructorBurgerTest","ConstructorBurgerTest","constructorToppingsTest"
"Создание пользователя с невалидным паролем менее 6 символов","13201","Регистрация пользователя с невалидным паролем","","2025-11-30","passed","2025-11-30","","IncorrectPasswordParamTest","IncorrectPasswordParamTest","createUserErrorPasswordTest[Неверный пароль 12]"
"Проверка входа через кнопку Войти на странице восстановления пароля","13895","Авторизация через кнопку Войти на странице восстановления пароля","","2025-11-30","passed","2025-11-30","","LoginTest","LoginTest","testAuthorizationBtnEnterPageRecoverPassword"
"Создание пользователя с невалидным паролем менее 6 символов","11680","Регистрация пользователя с невалидным паролем","","2025-11-30","passed","2025-11-30","","IncorrectPasswordParamTest","IncorrectPasswordParamTest","createUserErrorPasswordTest[Неверный пароль 12345]"
"Проверка перехода в раздел булки","34910","Конструктор булки","","2025-11-30","passed","2025-11-30","","ConstructorBurgerTest","ConstructorBurgerTest","constructorBunTest"
"Создание пользователя с невалидным паролем менее 6 символов","14628","Регистрация пользователя с невалидным паролем","","2025-11-30","passed","2025-11-30","","IncorrectPasswordParamTest","IncorrectPasswordParamTest","createUserErrorPasswordTest[Неверный пароль 1]"
"Проверка перехода в раздел соусы","10426","Конструктор соусы","","2025-11-30","passed","2025-11-30","","ConstructorBurgerTest","ConstructorBurgerTest","constructorSaucesTest"
"Проверка входа через кнопку Войти на странице регистрации","17290","Авторизация через кнопку Войти на странице регистрации","","2025-11-30","passed","2025-11-30","","LoginTest","LoginTest","testAuthorizationBtnEnterPageRegister"
"Успешная регистрация и переход на страницу авторизации","10452","Успешная регистрация","","2025-11-30","passed","2025-11-30","","RegisterTest","RegisterTest","testSuccessRegisterUser"
"Проверка входа через личный кабинет","24805","Авторизация через личный кабинет","","2025-11-30","passed","2025-11-30","","LoginTest","LoginTest","testAuthorizationBtnPersonalCabinet"
